conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/b3ebf55f-5e50-4262-946a-f08d7fbe29b2,Hochschullehrkraft mit Spezialisierung im Gesundheitsbereich,released,Spezialist/in für Onkologie | Assistent/in für Geriatrie | Wissenschaftliche Mitarbeiterin für Gesundheitspflege | Lehrkraft für Dietätik | Lehrbeauftragter für Krankenpflege | Lehrbeauftragte für Krankenpflege | Wissenschaftlicher Mitarbeiter für Gesundheitspflege | DozentIn für Pathologie,"Hochschullehrkräfte mit Spezialisierung im Gesundheitsbereich sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen und oft Ärzte/Ärztinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten, Labortätigkeiten anzuleiten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet des Gesundheitsbereichs Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/b5d1912e-89c7-4a66-ab96-0dc5f4f6c426,Immunologe/Immunologin,released,Allergologin | Allergologe | Immunbiologin | Immunbiologe | Infektiologe | Infektiologin | Immunologe | Immunologin,"Immunologen/Immunologinnen erforschen das Immunsystem lebender Organismen (z. B. des menschlichen Körpers) und die Reaktion des Immunsystems sauf externe Infektionen oder invasive schädliche Erreger (z. B. Viren, Bakterien, Parasiten). Sie konzentrieren ihre Forschung auf Krankheiten, die sich auf die Immunologie lebender Organismen auswirken, um sie für Behandlungszwecke zu qualifizieren.",http://data.europa.eu/esco/isco/C2131,"Biologen, Botaniker, Zoologen und verwandte Berufe"
Occupation,http://data.europa.eu/esco/occupation/b65133db-b3de-44d1-88fa-1d3deda08245,Hochschullehrkraft für Rechtswissenschaften,released,Lehrbeauftragter für Privatrecht | WissenschaftlicheR MitarbeiterIn für Europarecht | Lehrbeauftragte für internationales Recht | Dozentin für Sozialrecht | Dozent für Gesellschaftsrecht | UniversitätsassistentIn für Bürgerliches Recht,"Hochschullehrkräfte für Rechtswissenschaften sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, den Rechtswissenschaften, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet der Rechtswissenschaften Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/b73c752b-9858-4f53-82de-f3a340cbcae9,Epidemiologe/Epidemiologin,released,Epidemiologe | Epidemiologin,"Epidemiologe/Epidemiologinnen konzentrieren ihre Forschung auf den Ursprung und die Ursachen für den Ausbruch von Krankheiten beim Menschen. Sie bestimmen die Art und Weise, wie Krankheiten verbreitet werden, und schlagen den zuständigen Behörden Risikominderungsmaßnahmen vor.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biologe/Biologin
Occupation,http://data.europa.eu/esco/occupation/b79cfd33-6e46-4b71-b180-c9a84422f047,Seismologe/Seismologin,released,Seismologe | Seismologin,"Seismologe/Seismologinnen untersuchen die Bewegungen tektonischer Platten auf der Erde, durch die seismische Wellen und Erdbeben ausgelöst werden. Sie untersuchen und beobachten die verschiedenen Phänomene, die Erdbeben verursachen, z. B. Vulkanismus, atmosphärische Phänomene oder das Verhalten der Ozeane. Sie legen ihre wissenschaftlichen Beobachtungen vor, um Gefahren im Bauwesen und in der Infrastruktur zu vermeiden.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,Geologe/Geologin
Occupation,http://data.europa.eu/esco/occupation/bac64fa2-dcd6-47bb-8e5c-04e04a86a199,Geograf/Geografin,released,Humangeograf | Geograf | Physiogeograf | Wirtschaftsgeografin | Humangeografin | Physiogeografin | Geografin | Wirtschaftsgeograf | Anthropogeograf | Anthropogeografin,"Geografen sind Gelehrte, die die Geografie des Menschen und der Erde erforschen. Je nach Spezialisierung untersuchen sie im Rahmen der Geografie des Menschen politische, wirtschaftliche und kulturelle Aspekte. Darüber hinaus erforschen sie im Rahmen der physischen Geografie Landschaften, Böden, natürliche Grenzen und Gewässer.",http://data.europa.eu/esco/isco/C2632,"Soziologen, Anthropologen und verwandte Wissenschaftler"
Occupation,http://data.europa.eu/esco/occupation/bb609566-3ab6-44dd-8f48-cf0b15b96827,Automatisierungsingenieur/Automatisierungsingenieurin,released,Automatisierungsingenieur | Ingenieur Automatisierungstechnik | Ingenieurin Automatisierungstechnik | Automatisierungsingenieurin,"Automatisierungsingenieure/Automatisierungsingenieurinnen erforschen, gestalten und entwickeln Anwendungen und Systeme zur Automatisierung von Herstellungsverfahren. Sie setzen Technologie um und verringern nach Möglichkeit den menschlichen Beitrag, um das Potenzial der Industrierobotik in vollem Umfang zu nutzen. Automatisierungsingenieure/Automatisierungsingenieurinnen beaufsichtigen das Verfahren und sorgen dafür, dass sämtliche Systeme sicher und reibungslos ablaufen.",http://data.europa.eu/esco/occupation/d7380260-1386-4e36-98b5-8115ca4a3536,Produktionsingenieur/Produktionsingenieurin
Occupation,http://data.europa.eu/esco/occupation/bc659adc-f42c-4ef6-89fe-fd030033f446,Kosmologe/Kosmologin,released,Astrophysiker | Astrophysikerin | Astronom | Astronomin | Weltraumforscher | Weltraumforscherin | Kosmologe | Kosmologin,"Kosmologe/Kosmologinnen konzentrieren sich auf die Erforschung des Universums als Ganzes, die die Herkunft, Evolution und das Schicksal des Universums. Sie verwenden Werkzeuge und wissenschaftliche Instrumente, um andere Galaxien und astronomische Objekte wie Sterne, schwarze Löcher, Planeten und andere Himmelkörper zu beobachten und zu untersuchen.",http://data.europa.eu/esco/isco/C2111,Physiker und Astronomen
Occupation,http://data.europa.eu/esco/occupation/be3c021d-bd93-45a0-ad32-e8fa8e0d17ef,Hochschullehrkraft für Moderne Sprachen,released,WissenschaftlicheR MitarbeiterIn für Lebende Sprachen | Dozentin für Moderne Sprachen | SpezialistIn für Lebende Sprachen | Dozent für Moderne Sprachen | Professor/in für Moderne Sprachen | Universitätsassistent/in für Lebende Sprachen,"Hochschullehrkräfte für Moderne Sprachen sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, moderne Sprachen, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet der modernen Sprachen Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/bfc92738-128b-44f5-92d4-51b10df17961,Philosoph/Philosophin,released,Philosophin | Philosoph | Logiker | Logikerin,"Philosophen studieren allgemeine und strukturelle Probleme der Gesellschaft, des Menschen und des Einzelnen und führen Auseinandersetzungen über diese Fragen. Sie verfügen über ausgeprägte rationale und argumentative Fähigkeiten, um Themen wie Existenz, Wertesysteme, Wissen oder Wirklichkeit zu erörtern. Ihre logische Argumentation führt zu einem tieferen Verständnis und auf eine höhere Abstraktionsebene.",http://data.europa.eu/esco/isco/C2633,"Philosophen, Historiker und Politologen"
