conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e4ff825c-7376-4135-93cd-3892fd67b7c1,Umweltsanierungskonzepte entwickeln,released,skill/competence,cross-sector,,"Entwicklung von Strategien für die Entfernung von Schadstoffen und Verunreinigungen aus dem Boden, dem Grundwasser, dem Oberflächenwasser oder dem Sediment unter Berücksichtigung der Vorschriften zur Umweltsanierung und der verfügbaren Technologien.",http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4 | http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c | http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba | http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800 | http://data.europa.eu/esco/skill/507e2b21-1285-47e9-bf09-0db794df1bf0,Maßnahmen zur Verringerung der negativen Auswirkungen des Konsums ergreifen | Maßnahmen zur Verringerung von Verschmutzung ergreifen | Entwicklung von Strategien und Rechtsvorschriften | Problemlösungsstrategien entwickeln | Umweltstrategie entwickeln
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e52c1125-1d27-4e3d-afc9-761ee5f678b3,Baumkonservierung,released,knowledge,sector-specific,,Umweltanforderungen für die Baumkonservierung.,http://data.europa.eu/esco/isced-f/0821,Forstwissenschaft
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303,Auswirkungen auf die Umwelt beurteilen,released,skill/competence,cross-sector,,"Überwachen der Umweltauswirkungen und Vornehmen von Bewertungen, um die Umweltrisiken der Organisation zu ermitteln und unter Berücksichtigung der Kosten zu verringern.",http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4 | http://data.europa.eu/esco/skill/d3a8ef9c-8572-438c-91dc-010537070be3 | http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6 | http://data.europa.eu/esco/skill/d86babea-bf8b-4552-81a8-daf706066ad6,Maßnahmen zur Verringerung der negativen Auswirkungen des Konsums ergreifen | mit Umweltauswirkungen umgehen | kritisch denken | die Umwelt vor den Folgen digitaler Technologien schützen | Einhaltung von Umweltschutzgesetzen und -normen | Folgen des Unternehmenshandelns für die Umwelt steuern
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e5727f3b-0dc9-4daf-84e0-d5789b33a6d9,Forstökologie,released,knowledge,cross-sector,Waldökologie,"Ökosysteme im Wald, die von Bakterien über Bäume bis hin zu Bodentypen reichen.",http://data.europa.eu/esco/isced-f/0521,Umweltwissenschaften
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e5deced2-5636-4ff2-b9bc-dca6cbfc5f72,Kraft-Wärme-Kopplungsanlage planen,released,skill/competence,sector-specific,ein KWK-System entwerfen,"Schätzen des Heiz- und Kühlbedarfs des Gebäudes und Ermittlung des Warmwasserbedarfs für den häuslichen Gebrauch. Erstellen eines hydraulischen Schemas, das zur Kraft-Wärme-Kopplungsanlage passt, mit einer garantierten Rücklauftemperatur und einer akzeptablen Anzahl von Ein- und Ausschaltern.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,Entwurf elektrischer oder elektronischer Systeme oder Ausrüstungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e5f77488-7561-475a-9888-decd2443d37a,Personal in Abfallbewirtschaftung schulen,released,skill/competence,sector-specific,,"Schulung des Personals einer Anlage zur Abfallbewirtschaftung oder einer mit Abfallbewirtschaftungsstrategien befassten Organisation im Hinblick auf Verbesserungen, die zur Abfallvermeidung, zur Steigerung der Effizienz der Abfallbehandlung und -entsorgung und zur zuverlässigen Einhaltung des Abfall- und Umweltrechts vorgenommen werden können.",http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b | http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488 | http://data.europa.eu/esco/skill/73a9561d-112c-4d8a-9d5f-b2c11c5bbd5f,andere unterweisen | Schulung zu betrieblichen Verfahren | Abfall bewirtschaften
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e64d28b8-9379-440b-ba77-2738486f8e4a,Gerüche aus der Futtermittelproduktion kontrollieren,released,skill/competence,occupation-specific,,"Kontrollieren der Gerüche, die beim Zerkleinern, Erhitzen, Kühlen, bei der Ableitung flüssiger Abfälle und bei anderen Emissionen entstehen. Optionaler Einsatz thermischer Nachverbrennung.",http://data.europa.eu/esco/skill/18f2a44e-28ef-4ae3-8ea2-347e33bd9a4b,Bedienen von Maschinen für die Herstellung von Erzeugnissen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e65117b6-97e0-4f45-bd61-e581dcd6ec2a,geeignete Verpackungen für Lebensmittel auswählen,released,skill/competence,sector-specific,geeignete Verpackungen für Nahrungsmittel auswählen,"Auswahl der für Lebensmittel geeigneten Verpackungen unter Berücksichtigung ihrer Attraktivität und Eignung. Verwenden einer Verpackung, die ein sicheres Versenden zu vertretbaren Kosten ermöglicht. Berücksichtigen, dass die Verpackung Einfluss auf Produkteigenschaften wie Form, Gewicht oder Festigkeit haben kann. Abwägen verschiedener Aspekte wie Kosten, Attraktivität, Einhaltung von Vorschriften und Umweltschutz.",http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47 | http://data.europa.eu/esco/skill/8da6cd59-61e1-43c4-8dfc-bc69d283ccc7,Entscheidungen treffen | Verpacken von Gegenständen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e671c957-b998-49df-b630-7908806966f1,Kunden und Kundinnen über Umweltschutz informieren,released,skill/competence,cross-sector,,"Informieren der Kunden über die Auswirkungen ihrer Heizsysteme auf die Umwelt und darüber, inwieweit diese Auswirkungen durch eine umweltfreundliche Nutzung der bestehenden Systeme oder durch den Einsatz umweltfreundlicher Systeme auf ein Minimum reduziert werden können.",http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923 | http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d | http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,Umweltschutzmaßnahmen umsetzen | Andere beraten | Beratung zu Umweltthemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e6bf6e73-230a-434c-97b2-a0c042a8b7ac,Prinzipien der Nachhaltigkeit im Gesundheitswesen anwenden,released,skill/competence,cross-sector,,Berücksichtigung der Nachhaltigkeitsgrundsätze bei der Gesundheitsversorgung und Anstreben einer rationellen Ressourcennutzung.,http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,Maßnahmen zur Verringerung der negativen Auswirkungen des Konsums ergreifen | Einhaltung von Umweltschutzgesetzen und -normen
