conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,Personal mit Blick auf die Verringerung von Lebensmittelabfällen schulen,released,skill/competence,sector-specific,den Schülern/Schülerinnen Praktiken zur Verringerung der Lebensmittelverschwendung vermitteln | Schulung des Personals zur Reduzierung von Lebensmittelverschwendung | Information des Personals über Praktiken zur Reduzierung von Lebensmittelabfällen | die Arbeiter/innen über Methoden des Lebensmittelrecyclings aufklären,"Einführung neuer Schulungs- und Personalentwicklungsmaßnahmen, um das Wissen der Mitarbeiter/innen über die Vermeidung von Lebensmittelabfällen und die Wiederverwertung von Lebensmitteln zu fördern. Sicherstellen, dass das Personal die Methoden und Hilfsmittel für die Wiederverwertung von Lebensmitteln kennt, z. B. die Abfalltrennung.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,Schulung zu betrieblichen Verfahren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,Energiesparkonzepte entwickeln,released,skill/competence,cross-sector,,"Nutzen der aktuellen Forschungsergebnisse und Zusammenarbeit mit Experten zur Optimierung oder Entwicklung von Konzepten, Ausrüstung und Herstellungsverfahren, die weniger Energie benötigen, z. B. neue Dämmverfahren und -materialien.",http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458 | http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,Innovativ denken | Entwicklung betrieblicher Strategien und Verfahren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,Wärmepumpe installieren,released,skill/competence,cross-sector,,"Installieren von Wärmepumpen, die die physikalischen Eigenschaften von Kältemitteln nutzen, um Wärme aus der Umgebungsluft zu extrahieren und sie in einer wärmeren Umgebung wieder freizusetzen, im Gegensatz zu einer spontanen Wärmezufuhr. Schaffen der erforderlichen Öffnungen und Installieren der Innen- und Außenteile der Wärmepumpe. Anschließen der Stromleitungen und Kabelkanäle sowie Konfigurieren der Wärmepumpe.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"Installation von Heizungs-, Lüftungs- und Klimaanlagen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,Biomasseanlagen planen,released,skill/competence,sector-specific,Biomasseanlage planen | Biomasse-System entwerfen,"Planung des Biomasse-Energiesystems. Bestimmung der Grenzen der Konstruktion, z. B. des benötigten Platzes und des Gewichts. Berechnen von Indikatoren wie Kapazität, Durchfluss und Temperaturen. Erstellen detaillierter Beschreibungen und Zeichnungen des Entwurfs.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,Entwurf elektrischer oder elektronischer Systeme oder Ausrüstungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,Sortierausrüstung warten,released,skill/competence,sector-specific,Sortieranlagen warten,Routinemäßiges Warten und Durchführen kleinerer Reparaturen an der für die Sortierung von Abfällen und recycelbaren Materialien eingesetzten Ausrüstung.,http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,Geräte warten | Installation von Bauelementen aus Holz und Metall
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,Maßnahmen zur Förderung der biologischen Vielfalt und des Tierschutzes ergreifen,released,skill/competence,transversal,nachhaltige Essgewohnheit annehmen | beim Kauf von Lebensmitteln auf den Tierschutz achten | Förderung des Konsums von biologischen und biologischen Lebensmitteln | Umweltentscheidungen im Rahmen der eigenen Essgewohnheiten umsetzen | Biodiversität und Tierschutz konkret unterstützen | Nachhaltigkeitsaspekte bei Konsumentscheidungen berücksichtigen,"Verhaltensweisen an den Tag legen, die zur Erhaltung stabiler Ökosysteme und zur Bekämpfung des Massensterbens beitragen, z. B. durch bewusste Ernährungsentscheidungen, die die ökologische Lebensmittelerzeugung und den Tierschutz unterstützen.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Anwenden umweltbezogener Fähigkeiten und Kompetenzen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,Durchführbarkeitsstudie für Gebäudemanagementsysteme ausführen,released,skill/competence,sector-specific,Durchführung einer GMS-Durchführbarkeitsstudie,"Bewertung und Einschätzung des Potenzials eines Gebäudemanagementsystems durchführen. Durchführung einer standardisierten Studie zur Ermittlung des Energieeinsparungsbeitrags, der Kosten und der Einschränkungen sowie Durchführung von Untersuchungen zur Unterstützung des Entscheidungsfindungsprozesses.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,Machbarkeitsstudie durchführen | Analyse von Geschäftstätigkeiten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,Kontaminationsschutzvorschriften,released,knowledge,cross-sector,,"Vorschriften über die Exposition gegenüber kontaminierten Materialien oder einem gefährlichen Umfeld, mit denen die Maßnahmen im Zusammenhang mit der Risikobewertung, der Minimierung der weiteren Exposition, der Quarantäne und der Behandlung exponierter Personen geregelt sind.",http://data.europa.eu/esco/isced-f/1021,Kommunale Hygiene
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,kontaminiertes Material entfernen,released,skill/competence,sector-specific,verseuchtes Material entfernen,"Entfernen von durch Gefahrstoffe kontaminierten Materialien und Geräten, um die Umgebung vor einer weiteren Kontamination zu schützen und die kontaminierten Materialien zu reinigen oder zu entsorgen.",http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f | http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e,Kontamination beurteilen | Umgang mit und Entsorgung von Gefahrstoffen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,Tiere retten,released,skill/competence,sector-specific,,"Retten von Tieren aus Situationen, die eine unmittelbare oder potentielle Gefährdung für ihre Wohlergehens darstellen.",http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,Aufrechterhaltung und Durchsetzung der physischen Sicherheit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04012dd1-478d-4eec-9951-dd623bfe86ca,Climate Smart Agriculture (CSA),released,knowledge,sector-specific,,"Ein integrierter Landwirtschaftsansatz, der darauf abzielt, die Nahrungsmittelproduktivität zu erhöhen, die Resilienz der Kulturen zu verbessern, die Lebensmittelsicherheit zu gewährleisten, Emissionen zu reduzieren und sich an den Klimawandel anzupassen.
	",http://data.europa.eu/esco/isced-f/0811,Pflanzen- und Tierproduktion
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/052b829c-67c5-466f-9300-0e0b001a68ef,Energieleistungsverträge vorbereiten,released,skill/competence,sector-specific,,"Erstellen und Prüfen von Verträgen, die die Energieleistung beschreiben und gleichzeitig Sicherstellen, dass sie die gesetzlichen Anforderungen erfüllen.
	",http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,Kompromisse aushandeln | Verfassen technischer Dokumentation oder akademischer Schriften
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05dbdec3-c9d0-4f15-91ad-0700475a0f75,Umwelteinflüsse auf die Klauen von Rindern beurteilen,released,skill/competence,occupation-specific,,"Beurteilen von Umwelteinflüssen und Feststellen, welche Auswirkungen sie auf die Gesundheit der Klauen von Rindern haben können. Zu den Umweltfaktoren gehören die Ernährung, die Unterbringung und die Exposition gegenüber Umwelteinflüssen.",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303,Beratung zu Umweltthemen | Auswirkungen auf die Umwelt beurteilen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,Sonnenenergie,released,knowledge,cross-sector,Solarenergie | Solartechnik | Photovoltaik-Energie | Photovoltaikenergie,"Energie, die vom Licht und von der Wärme der Sonne ausgeht und mithilfe unterschiedlicher Technologien als erneuerbare Energiequelle genutzt werden kann, wie Photovoltaik für die Stromerzeugung und Solarthermie für die Erzeugung von Wärmeenergie.",http://data.europa.eu/esco/skill/f8413360-6114-40de-a276-c59b764b9913 | http://data.europa.eu/esco/isced-f/0713,Technologien für erneuerbare Energieträger | Elektrizität und Energie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062ec888-7fd2-4b1e-860e-4cdcc9503ab3,Genehmigungen für die Nutzung von Bodenressourcen erteilen,released,skill/competence,sector-specific,,Untersuchen der möglichen Auswirkungen der Nutzung von Bodenressourcen auf Wasser- und aquatische Lebensräume. Abgeben von Empfehlungen bezüglich der Bewilligung oder Ablehnung von Genehmigungen für diese Zwecke.,http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,"Erstellen von Unterlagen für Verträge, Anträge oder Genehmigungen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/065ec709-e0f4-407f-91fe-9feab66942be,Sprinkleranlagen entwickeln,released,skill/competence,occupation-specific,,"Entwickeln von Sprinkleranlagen. Berücksichtigen von Fragen des Gewässerschutzes, der bestehenden und geplanten Merkmale der Landschaftsplanung und der zeitlichen Abfolge bestehender Systeme.",http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"Entwurf von industriellen Materialien, Systemen oder Produkten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06a4004d-ee47-44ff-ae2f-a038ba0c0256,Durchführbarkeitsstudie über Kleinwindkraftanlagen ausführen,released,skill/competence,sector-specific,eine Machbarkeitsstudie zu Mini-Windkraft durchführen | Durchführung einer Machbarkeitsstudie über Mini-Windkraftanlagen,"Bewertung und Einschätzung des Potenzials von Kleinwindkraftanlagen. Durchführung einer standardisierten Studie zur Einschätzung des Strombedarfs des Gebäudes und des Anteils der Energie einer Kleinwindkraftanlage an der Gesamtversorgung sowie Durchführung von Untersuchungen zur Unterstützung des Entscheidungsprozesses.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,Machbarkeitsstudie durchführen | Analyse von Geschäftstätigkeiten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/072f35a1-98e7-4a6c-9a19-474ace5644da,Pflanzen als Biomasse anbauen,released,skill/competence,sector-specific,,Anbauen von Nutzpflanzen zur Produktion von Biomasse; Verarbeiten von Nutzpflanzen zu Biomasse.,http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,Bewirtschaften von Land und Anbau von Nutzpflanzen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07c29939-d5fe-4f7f-8546-f1d02fd352db,Siloanlagen untersuchen,released,skill/competence,sector-specific,Siloanlagen kontrollieren,"Untersuchen von Siloanlagen, um schädliche Emissionen während ihrer Nutzung auf ein Minimum zu reduzieren.",http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,Einhaltung von Umweltschutzgesetzen und -normen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,wissenschaftliche Daten zur Wasserqualitätskontrolle interpretieren,released,skill/competence,cross-sector,,Analysieren und Interpretieren von Daten wie den biologischen Eigenschaften zum Ermitteln der Wasserqualität.,http://data.europa.eu/esco/skill/1aae38c8-f75a-4009-8aa0-c5fa94b06e6b | http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650 | http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078 | http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,"Wasserqualitätsprüfung leiten | Daten, Informationen und digitale Inhalte bewerten | wissenschaftliche Daten analysieren | Analyse wissenschaftlicher und medizinischer Daten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,Umweltpolitik,released,knowledge,cross-sector,nationale Umweltschutzpolitik | nationale Umweltpolitik | Politik der ökologischen Nachhaltigkeit | internationale Umweltschutzpolitik | lokale Umweltschutzpolitik | internationale Umweltpolitik | lokale Umweltpolitik,"Lokale, nationale und internationale Strategien, die sich mit der Förderung der ökologischen Nachhaltigkeit und der Entwicklung von Projekten befassen, die die negativen Umweltauswirkungen verringern und den Zustand der Umwelt verbessern.",http://data.europa.eu/esco/isced-f/0521,Umweltwissenschaften
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085c8851-2354-44ae-98de-367bdde8bf58,sich mit Abfallbehandlungsanlagen verständigen,released,skill/competence,occupation-specific,,"Kommunizieren mit Einrichtungen, die sich um die Behandlung gefährlicher oder nicht gefährlicher Abfälle kümmern, um eine effiziente Zusammenarbeit bei der Organisation von Abfallbehandlungsverfahren zu gewährleisten.",http://data.europa.eu/esco/skill/47f14289-3bcd-4575-9cc1-15c582d1da29 | http://data.europa.eu/esco/skill/a19c5139-1250-4a60-9c31-a3243cca06cc,Abfallbehandlungsanlage leiten | Kommunikation mit Kollegen/Kolleginnen und Kunden/Kundinnen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,Einhaltung der Umweltschutzvorschriften gewährleisten,released,skill/competence,cross-sector,,"Überwachen der Tätigkeiten und Erfüllen von Aufgaben zur Gewährleistung der Einhaltung von Standards in Bezug auf Umweltschutz und Nachhaltigkeit, sowie Anpassen der Tätigkeiten im Falle von Änderungen an den Umweltvorschriften. Sicherstellen, dass die Prozesse mit den Umweltvorschriften und bewährten Verfahren im Einklang stehen.",http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,Einhaltung der rechtlichen Bestimmungen sicherstellen | Einhaltung von Umweltschutzgesetzen und -normen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a5f6dd-d3dd-4371-9919-6d730f34499c,Fotovoltaikpanele montieren,released,skill/competence,occupation-specific,Photovoltaikpanele anbringen | Sonnenkollektoren befestigen,Sicheres Installieren von Fotovoltaikmodulen mittels eines geeigneten Befestigungssystems in der festgelegten Position und Neigung.,http://data.europa.eu/esco/skill/30b280e7-2468-440b-a78f-f1e7f515d60a,"Positionieren von Material, Werkzeugen und Ausrüstung"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09473fea-69ea-40dc-9ff4-bbaaff10840e,Installationsstandort-Überprüfung vornehmen,released,skill/competence,cross-sector,,"Zusammenstellen von Informationen zu baulichen, elektrobezogenen und ähnlichen Fragen mittels Durchführung einer Installationsstandort-Überprüfung. Diese dienen der Konzeption technischer Lösungen wie beispielsweise Solarenergiesystemen.",http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/15fa3879-ac0e-46e6-ae36-609bae9c19c3 | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a,kritisch denken | Überwachung betrieblicher Tätigkeiten | qualitative Informationen verarbeiten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09c28e46-712a-4c11-a4ae-67ae554ea940,Beratung zur Verringerung des Chemikalieneinsatzes durchführen,released,skill/competence,cross-sector,Beratung zur Reduzierung des Chemikalieneinsatzes durchführen | Beratung zur Reduzierung des Chemikalieneinsatzes leisten,"Zur Verringerung des Einsatzes von Chemikalien wie Pestiziden und der Emissionen verschiedener chemischer Stoffe beraten, um deren Auswirkungen auf die Umwelt zu begrenzen und die Risiken für den Menschen zu verringern. Bezüglich geltender Vorschriften auf dem Laufenden bleiben.
	",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,Beratung zu Umweltthemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0aabb61b-5382-490a-bf44-375858f9cd3e,Typen von Gezeitenstromgeneratoren,released,knowledge,sector-specific,Gezeitenstromgeneratoren | Arten von Gezeitenenergiekonverter | Arten von Gezeitenenergiekonvertern | Arten von Gezeitenturbinen,"Verschiedene Arten von Generatoren wie Querstromturbinen, strömungserhöhte Turbinen, Venturi-Effekt-Geräte oder Gezeitendrachenturbinen. Sie werden eingesetzt, um Energie aus Wasserströmungen zu gewinnen, sei es in Flüssen oder Flussmündungen, die vom Gezeitenhub profitieren, oder in den Unterwasserströmungen vor der Küste.
	",http://data.europa.eu/esco/isced-f/0713,Elektrizität und Energie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ad6d5e8-593f-4191-843c-439b23a468ca,Energieaudit durchführen,released,skill/competence,sector-specific,,"Systematisches Analysieren und Bewerten des Energieverbrauchs, um die Energieeffizienz zu verbessern.",http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,kritisch denken | Analyse von Geschäftstätigkeiten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b3ae8c1-771e-4483-b3da-fd420fe6545b,die Erhaltung der Zusammensetzung von Wasser anstreben,released,skill/competence,occupation-specific,,"Versuchen, die Zusammensetzung von Wasser beim Entfernen unerwünschter Bestandteile nicht unnötig zu verändern.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"Betrieb von Systemen oder Ausrüstungen für die Verarbeitung von Erdöl, die chemische Weiterverarbeitung oder die Wasseraufbereitung"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b4f100c-813d-4eec-8aa5-4227bb98c635,schiffsbezogene Rechtsvorschriften,released,knowledge,sector-specific,,Übereinkommen der Internationalen Seeschifffahrts-Organisation (IMO) über die Sicherheit des Lebens auf See sowie die Sicherheit und den Schutz der Meeresumwelt.,http://data.europa.eu/esco/skill/243ffeb4-3395-4e39-9cf0-695be5b142aa | http://data.europa.eu/esco/isced-f/0421,Seerecht | Rechtswissenschaft
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0bca9840-478a-40fd-a6c3-c8cc923add98,Bewirtschaftungspläne entwickeln,released,skill/competence,sector-specific,Managementpläne entwickeln,Entwickeln von Bewirtschaftungsplänen für den Erhalt von Fischbeständen und deren Lebensräume oder erforderlichenfalls deren Wiederherstellung.,http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,"Entwicklung von Finanz-, Geschäfts- oder Marketingplänen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cf3117a-c627-48e0-8d55-65b0f4557ae5,nachhaltige Bodenbearbeitungstechniken anwenden,released,skill/competence,sector-specific,Boden nachhaltig bearbeiten | nachhaltige Bodenbearbeitung einsetzen,"Anwendung nachhaltiger Bodenbearbeitungstechniken wie konservierende Bodenbearbeitung oder Direktsaat, um die Auswirkungen auf den Boden zu minimieren.
   ",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,Bewirtschaften von Land und Anbau von Nutzpflanzen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d0fe364-462d-48dd-b54b-e972e2bdecb1,Arten von Dämmstoffen,released,knowledge,cross-sector,Arten von Isolierungsmaterialien,"Verschiedene Arten von Dämmstoffen und deren Anwendungsfälle, Vorteile, Risiken und Kosten.",http://data.europa.eu/esco/isced-f/0732,Bau- und Bauingenieurwesen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,Maßnahmen zur Verringerung von Verschmutzung ergreifen,released,skill/competence,transversal,öffentliche Verkehrsmittel vorziehen | Lärm reduzieren | Müll trennenl | Umweltverschmutzung verhindern | öffentliche Verkehrsmittel benutzen,"Ergreifen von Maßnahmen zur Verringerung der Luft-, Lärm-, Licht-, Wasser- und Umweltverschmutzung, beispielsweise durch das Nutzen öffentlicher Verkehrsmittel, indem Abfälle nicht in der Natur zurückgelassen werden sowie das Reduzieren unnötiger Licht- und Lärmemissionen, insbesondere während der Nacht.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Anwenden umweltbezogener Fähigkeiten und Kompetenzen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e0b8991-4b24-4bb8-9113-df3ce43c1ff9,über Umweltfragen im Bergbau beraten,released,skill/competence,sector-specific,,"Beratung von Ingenieuren/Ingenieurinnen, Sachverständigen, geotechnischem Personal und Metallurgen/Metallurginnen, die an Bergbautätigkeiten und an der Renaturierung nach dem Abbau beteiligt sind.
	",http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d | http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/8df86db8-dfcd-414b-854f-ad1cdb18d733,Andere beraten | Beratung zu Umweltthemen | über die Auswirkungen des Bergbaus auf die Umwelt informieren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e628dde-8d1b-4a1d-b973-a349fe1725c8,Sedimentkontrolle durchführen,released,skill/competence,sector-specific,,"Verwalten der Sedimentkontrollverfahren und -projekte. Planen von Maßnahmen zur Sedimentkontrolle, um zu verhindern, dass erodierte Böden die in der Nähe liegenden Gewässer verschmutzen.",http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,"Organisation, Planung und zeitliche Planung von Arbeiten und Tätigkeiten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,Green IT,released,knowledge,occupation-specific,,"Nutzung von IKT-Systemen auf umweltverträgliche und nachhaltige Weise, z. B. durch die Einführung energieeffizienter Server und Prozessoren (CPUs), die Verringerung der Ressourcen und die korrekte Entsorgung von Elektronikabfällen.",http://data.europa.eu/esco/isced-f/0712,Umweltschutztechnologie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e81fcff-2fb5-4c87-afc2-49b5e5d9db50,Biogasanlage betreiben,released,skill/competence,occupation-specific,,"Betreiben von Anlagen, in denen Energiepflanzen und Abfälle von landwirtschaftlichen Betrieben durch anaerobe Vergärung in Biogas umgewandelt werden. Sicherstellen, dass die Anlagen und Geräte zur Umwandlung von Biomasse in Biogas, das zur Gewinnung von Wärme und Strom verwendet wird, ordnungsgemäß funktionieren.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"Betrieb von Systemen oder Ausrüstungen für die Verarbeitung von Erdöl, die chemische Weiterverarbeitung oder die Wasseraufbereitung"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f4cc60e-820e-439d-8810-31a2cc27ada6,Geräte zur Wasserdesinfektion verwenden,released,skill/competence,sector-specific,,"Verwenden von Geräten zur Wasserdesinfektion unter Einsatz verschiedener Methoden und Techniken, wie z. B. der mechanischen Filtration, je nach Bedarf.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"Betrieb von Systemen oder Ausrüstungen für die Verarbeitung von Erdöl, die chemische Weiterverarbeitung oder die Wasseraufbereitung"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/101d63ee-bb22-4a7c-9e0a-c2716063696a,"Bewertungen in den Bereichen Gesundheit, Sicherheit und Umwelt vornehmen",released,skill/competence,cross-sector,,"Durchführen von Gesundheits-, Sicherheits- und Umweltprüfungen zur Gewährleistung ordnungsgemäßer Arbeitsumfelder und -bedingungen.",http://data.europa.eu/esco/skill/0e0a44a8-654c-4e85-986a-fb4386114838 | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176 | http://data.europa.eu/esco/skill/60ccdd6a-c100-43cf-9797-543a5c42b922,Überwachung der Sicherheit | Sicherheitsvorkehrungen am Arbeitsplatz befolgen | Gesundheit und Sicherheit in der Fertigung gewährleisten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/101e6f4c-c892-4812-9e2c-f2b888771bb3,Windturbinenschaufeln prüfen,released,skill/competence,sector-specific,,"Prüfen neuer Designs für Windturbinenschaufeln, die für den Einsatz in Windparks bestimmt sind, um sicherzustellen, dass die Schaufeln funktionsfähig sind und im betreffenden Windpark unbedenklich eingesetzt werden können.
   ",http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,Installation von Bauelementen aus Holz und Metall
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/103f7814-d262-4df6-a1b6-759bc51f76cb,nachhaltige Technologien,released,knowledge,cross-sector,alternative Energie | saubere Energie | grüne Technologien,"Technologien mit dem Ziel, Umweltrisiken zu verringern und gleichzeitig positive wirtschaftliche, soziale und ökologische Auswirkungen zu erzielen. Es handelt sich hierbei um innovative Technologien, die entwickelt wurden, um den negativen Auswirkungen der Menschheit auf den Planeten vorzubeugen, sie zu verringern oder zu beseitigen.
	",http://data.europa.eu/esco/isced-f/0712,Umweltschutztechnologie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1063b061-329e-4212-8db4-ab936dc60efc,Umweltökonomie,released,knowledge,sector-specific,Prinzipien der Umweltökonomie | Grundsätze der Umweltökonomie,"Teilgebiet der Wirtschaftswissenschaften, das sich mit der effizienten Verteilung von Umweltressourcen befasst, mit dem Ziel, die negativen Auswirkungen auf die natürliche Umwelt auf ein Mindestmaß zu reduzieren.
	",http://data.europa.eu/esco/isced-f/0311,Wirtschaftswissenschaft
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/108320f7-c8a1-4386-aed9-91054ab05619,landwirtschaftspolitische Strategien entwickeln,released,skill/competence,cross-sector,,Ausarbeiten von Programmen zur Entwicklung neuer Technologien und Methoden in der Landwirtschaft sowie zur Entwicklung und Umsetzung von mehr Nachhaltigkeit und Umweltbewusstsein in der Landwirtschaft.,http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba,Entwicklung von Strategien und Rechtsvorschriften
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10ff3d22-1f29-48bc-98e4-63fc61c78034,soziale Bündnisse,released,knowledge,sector-specific,,"Die Schaffung von Partnerschaften zwischen verschiedenen Akteuren (Unternehmen, gemeinnützigen Organisationen oder Organisationen des öffentlichen Sektors), durch die sie Ressourcen und Wissen für eine gemeinsame Sache teilen: in der Regel zur Lösung eines sozialen oder umweltbezogenen Problems.
   ",http://data.europa.eu/esco/isced-f/0314,Soziologie und Kulturstudien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/110d7aa3-e44e-4cce-a927-8d4de615f3d9,Abfall sortieren,released,skill/competence,cross-sector,,Manuelles oder automatisches Sortieren von Abfall durch Trennen des Abfalls in die verschiedenen Materialien.,http://data.europa.eu/esco/skill/485b2e3b-f883-46d8-901f-ab521d4f8e58,Sortieren von Materialien oder Produkten
